old_names,cleaned_names
Amia Calva,Amia calva
Anatidae,Anatidae
Anura,Anura
Archosargus sp.,Archosargus
Ariidae,Ariidae
Arius Felis,Arius felis
Arridae,Ariidae
Arriidae,Ariidae
Artiodactyla,Artiodactyla
Aves,Aves
"Aves, unidentified",Aves
Bagre marinus,Bagre marinus
Bairdiella sp.,Bairdiella
Bos taurus,Bos taurus
Bufo sp.,Bufo
Canis familiaris,Canis lupus familiaris
Carangidae,Carangidae
Caranx sp.,Caranx
Carcharhinidae,Carcharhinidae
Chelonidae,Cheloniidae
Chondrichthys,Chondrichthyes
Chondrichthys cf. Negaprion,Negaprion
Chondricthys,Chondrichthyes
Chrysemys sp.,Chrysemys
Clupeidae,Clupeidae
Colubridae,Colubridae
Crassostrea,Crassostrea
Crassostrea sp.,Crassostrea
Cynoscion sp.,Cynoscion
Dasyatidae,Dasyatidae
Decapoda,Decapoda
dentary/premaxilla,error to fix
Didelphis Marsupialis,Didelphis marsupialis
Elops saurus,Elops saurus
Emydidae,Emydidae
Gallus gallus,Gallus gallus
Gavia immer,Gavia immer
Geukeusia demissa,Geukensia demissa
Gopherus polyphemus,Gopherus polyphemus
Ilyanassa sp.,Ilyanassa
Kinosternon sp.,Kinosternon
Large Mammal,Mammalia
Malaclemys terrapin,Malaclemys terrapin
Mammal,Mammalia
"Mammal, Large",Mammalia
Mammalia,Mammalia
Mammalia cf. Bos,Bos
"Mammalia, Large",Mammalia
Menippes mercenaria,Menippe mercenaria
Menippes sp.,Menippe
Mercenaria sp.,Mercenaria
Mercenaria spp.,Mercenaria
Micropogan sp.,Micropogon
Micropogon undulatus,Micropogon undulatus
Mugil sp.,Mugil
Opsanus beta,Opsanus beta
Opsanus sp.,Opsanus
Osteichthyes,Osteichthyes
Paralichthys sp.,Paralichthys
Pogonias cromis,Pogonias cromis
Rallidae,Rallidae
Rattus cf. norvegicus,Rattus norvegicus
Rattus sp.,Rattus
Rodentia,Rodentia
Sciaenidae,Sciaenidae
Sciaenidae cf Cynoscion,Cynoscion
Sciaenops ocellata,Sciaenops ocellatus
Sciaenops sp.,Sciaenops
Sparidae,Sparidae
Sus scrofa,Sus scrofa
Sylvilagus sp.,Sylvilagus
Tagelus plebius,Tagelus plebeius
Terrapene sp.,Terrapene
Testudines,Testudines
Testudinidae c. Gopherus,Gopherus
Trichiurus sp.,Trichiurus
Unidentifed fish,Osteichthyes
Unidentified,Animalia
Unidentified snake,Serpentes
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
