verbatimScientificName,verbatimElement
Sylvilagus sp.,atlas
Sylvilagus sp.,astragalus
Sylvilagus sp.,dentary
Artiodactyla,lumbar vertebra
Bos taurus,phalanx
Bos taurus,molar
"Mammal, Large",
Mammal,
Aves,phalanges
Gavia immer,humerus
Testudines,
Testudines,
Kinosternon sp.,epi-hyoplastron
Kinosternon sp.,pleural 2
Kinosternon sp.,pleural 3
Kinosternon sp.,pleural 2
Kinosternon sp.,"peripheral, 5"
Kinosternon sp.,neural (?2 or 3)
Colubridae,vertebra
Carcharhinidae,tooth
Clupeidae,vertebrae
Ariidae,neurocranium
Ariidae,vertebrae
Ariidae,vertebra
Ariidae,cleithrum
Sciaenidae,vertebrae
Sciaenidae cf Cynoscion,operculum
Sciaenidae cf Cynoscion,vertebra
Pogonias cromis,infrapharyngeal grinder
Pogonias cromis,tooth
Sciaenops ocellata,infrapharyngeal grinder
Sciaenops ocellata,dentary
Sciaenops ocellata,articular
Archosargus sp.,premaxilla
Archosargus sp.,premaxilla
Archosargus sp.,?articular
Archosargus sp.,vertebrae
Mugil sp.,vertebrae
Mugil sp.,vertebrae
Paralichthys sp.,vertebrae
Paralichthys sp.,premaxilla
Paralichthys sp.,dentary/premaxilla
Paralichthys sp.,
Unidentified fish,
Unidentified fish,
Unidentified fish,scales
Unidentified,
Unidentified,
Mammal,
Ariidae,vertebra
Sparidae,premaxilla
Unidentified fish,
Testudines,
Ariidae,neurocranium
Ariidae,pectoral spine
Mugil sp.,vertebra
Paralichthys sp.,vertebrae
Unidentified fish,
Unidentified fish,scales
Unidentified,
Unidentified,
Mammal,
Mammal,
Testudines,
Unidentified fish,
Unidentified fish,
Ariidae,neurocranium
Ariidae,cleithrum
Bagre marinus,pectorial spine
Bagre marinus,neurocranium
Carangidae,pneumatics
Pogonias cromis,teeth
Sparidae,articular
Sparidae,maxillary
Mugil sp.,vertebra
Trichiurus sp.,neurocranium
Trichiurus sp.,dentary
Paralichthys sp.,vertebrae
Paralichthys sp.,coracoid
Paralichthys sp.,cervical vertebra
Unidentified,
"Mammalia, Large",
Mammal,
Sylvilagus sp.,astragalus
Sylvilagus sp.,cervical vertebra
Sylvilagus sp.,ulna
Aves,coracoid
Testudines,
Testudines,
Chrysemys sp.,peripheral
Terrapene sp.,peripheral
Terrapene sp.,epiplastron
Unidentified snake,vertebra
Unidentified fish,
Unidentifed fish,
Clupeidae,vertebrae
Clupeidae,vertebrae
Ariidae,neurocranium
Ariidae,vertebrae
Ariidae,1st-6th fused vertebra
Ariidae,cleithrum
Ariidae,pectorial spine
Ariidae,
Caranx sp.,vertebra
Caranx sp.,pneumatics
Sparidae,articular
Sparidae,articular
Sparidae,maxillary
Sparidae,operculum
Sparidae,maxillary
Archosargus sp.,premaxilla
Micropogon undulatus,otoliths
Micropogon undulatus,premaxilla
Pogonias cromis,teeth
Sciaenops ocellata,otolith
Mugil sp.,hyomandibulars
Mugil sp.,vertebrae
Mugil sp.,vertebrae
